Sample	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-All	All	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2805318548.0	3873651.0	51.0	37.0	2.633080265063413e-05	1.316570040751715e-05	0.9999999868107672	0.42045454545454547	0.5795454545454546	0.5795454545454546	HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-DEL_50	DEL_50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2808990307.0	201924.0	19.0	2.0	0.00018815234398209582	9.408595494768326e-05	0.9999999992880004	0.09523809523809523	0.9047619047619048	0.9047619047619048	HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-DEL_gt50	DEL_gt50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2809192219.0	31.0	0.0	0.0		0.0	1.0				HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-INS_50	INS_50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2808957767.0	234467.0	16.0	7.0	0.0001364570629322917	6.823522387550483e-05	0.9999999975079725	0.30434782608695654	0.6956521739130435	0.6956521739130435	HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2809192183.0	67.0	0.0	0.0		0.0	1.0				HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-Indel_50	Indel_50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2809166709.0	25541.0	0.0	0.0		0.0	1.0				HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2809191249.0	1001.0	0.0	0.0		0.0	1.0				HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-SNPts	SNPts	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2806878564.0	2313672.0	14.0	18.0	1.2101734092054436e-05	6.050950734023545e-06	0.9999999935871825	0.5625	0.4375	0.4375	HG002	ultima	-1.0	-2.0	strobe	sentd
RIH0_ANA0-HG002_DBC0_0-strobe-sentd-SNPtv	SNPtv	RIH0_ANA0-HG002_DBC0_0	2809192250.0	2808095300.0	1096948.0	2.0	10.0	3.646434425258122e-06	1.8232371575732714e-06	0.9999999964388673	0.8333333333333334	0.16666666666666663	0.16666666666666666	HG002	ultima	-1.0	-2.0	strobe	sentd
